,Total_Sales,Year,cleaned_name,curb_weight_lbs,speed_sec,horsepower_hp,width_in,msrp,pass_capacity,doors,wheelbase_in,height_in,tank_cap_gal,length_in,vol_cubft,mpg_comb,drivetrain,fuel,class,transmission
37,119489.0,2005,nissan sentra,2608.5,8.71,126.0,67.3,15020.0,5.0,4.0,99.79999999999998,55.5,13.2,177.5,88.0,27.0,front wheel,gas,compact,AT
38,44804.0,2005,dodge charger,,,,,,,,,,,,,,,,,
39,130542.0,2005,chevrolet equinox,3718.0,,,,23077.5,5.0,4.0,112.5,69.3,16.7,,106.4,,front wheel,gas,suv,DCT
40,122398.0,2005,pontiac grand prix,,6.22,303.0,71.6,4400.0,5.0,4.0,110.5,55.9,17.0,198.3,97.0,20.0,front wheel,gas,midsize,AT
41,108775.0,2005,lexus rx,,8.06,230.0,72.6,5403.0,,,106.9,66.1,19.2,186.2,,20.0,front wheel,gas,,
42,107897.0,2005,toyota prius,2890.0,11.28,110.0,67.9,21275.0,5.0,4.0,106.3,58.1,11.9,175.0,96.0,46.0,front wheel,electric,midsize,AT
43,104063.0,2005,volkswagen jetta,3184.2,7.66,180.0,68.3,20641.0,5.0,4.0,100.25,58.0,14.5,172.3,87.0,24.0,front wheel,gas,compact,MT
44,103829.0,2005,toyota 4runner,4297.916666666667,7.35,245.0,73.8,32172.5,5.0,4.0,109.79999999999995,70.36666666666666,23.0,189.0,103.09999999999998,18.0,four wheel,gas,suv,AT
45,100891.0,2005,saturn ion,,9.27,140.0,67.2,2520.0,5.0,4.0,103.2,57.4,13.2,184.5,178.0,23.0,front wheel,gas,compact,MT
46,41011.0,2005,chevrolet hhr,,,,,,,,,,,,,,,,,
47,116336.0,2005,hyundai elantra,2677.0,8.26,138.0,67.7,14715.666666666666,5.0,4.0,102.70000000000005,56.100000000000016,14.5,177.9,190.0,24.0,front wheel,gas,compact,AT
48,8821.0,2005,buick lucerne,,,,,,,,,,,,,,,,,
49,97388.0,2005,mazda 3,,7.98,148.0,69.1,2052.0,,,103.9,57.7,14.5,178.3,189.0,27.0,front wheel,gas,compact,MT
50,128359.0,2005,chevrolet colorado,,,175.0,67.6,21116.40625,4.5625,2.625,120.94062499999998,66.00625000000001,19.60000000000001,192.8,,21.0,rear wheel,gas,,MT
51,120958.0,2005,ford ranger,,,148.0,,19929.6,3.4,2.0,120.41199999999996,67.54400000000001,18.84,,,20.5,rear wheel,gas,,MT
52,95318.0,2005,toyota avalon,3548.75,5.66,280.0,72.8,29822.5,5.0,4.0,111.0,58.5,18.5,197.2,107.0,22.0,front wheel,gas,large,AT
53,17048.0,2005,jeep commander,,,,,,,,,,,,,,,,,
54,114137.0,2005,ford expedition,,,300.0,50.9,39703.07692307692,8.461538461538462,4.0,119.0,76.64615384615385,28.0,,,16.5,four wheel,gas,,AT
55,87788.0,2005,subaru legacy outback,,,,,,,,,,,,,,,,,
56,107932.0,2005,ford five hundred,,8.47,203.0,74.5,3324.0,5.0,4.0,112.9,,19.0,200.7,,25.0,front wheel,gas,,
57,74454.0,2005,nissan murano,3909.0,,245.0,74.0,29266.666666666668,5.0,4.0,111.2,66.5,21.7,187.6,109.9,22.5,front wheel,gas,suv,
58,79017.0,2005,jeep wrangler,3506.8571428571427,7.46,190.0,66.7,23048.285714285717,3.7142857142857135,2.0,96.25714285714284,71.05714285714286,19.0,167.0,,15.0,four wheel,gas,suv,MT
