,Total_Sales,cleaned_name,curb_weight_lbs,speed_sec,msrp,pass_capacity,doors,wheelbase_in,tank_cap_gal,vol_cubft,mpg_comb,Year,height_in,length_in,width_in,drivetrain,transmission,class,horsepower_hp,hybrid,fuel_type
66,137409.0,toyota highlander,3707.5,7.73,26996.25,6.25,4.0,106.9,19.1,122.95,20.0,2005,68.05,184.6,71.9,front wheel,AT,suv,230.0,True,Hybrid
69,126529.0,toyota tundra,,,25974.0,5.15,2.4,130.79000000000002,26.399999999999988,,17.0,2005,71.47999999999999,208.0,75.2,rear wheel,DCT,Automatic transmission,282.0,True,Hybrid
71,106950.0,bmw 3,3407.4375,7.15,35928.125,4.8125,3.125,107.32499999999996,16.599999999999998,87.15625,22.5,2005,55.04374999999999,176.0,68.5,rear wheel,MT,compact,184.0,,gas
72,119489.0,nissan sentra,2608.5,8.71,15020.0,5.0,4.0,99.79999999999998,13.2,88.0,27.0,2005,55.5,177.5,67.3,front wheel,AT,compact,126.0,True,Hybrid
75,44804.0,dodge charger,,,,,,,,,,2005,203.0,213.0,113.0,Rear-wheel drive,5 Speed Automatic Select Shift,Automatic transmission,292.0,True,Hybrid
78,130542.0,chevrolet equinox,3718.0,,23077.5,5.0,4.0,112.5,16.7,106.4,,2005,69.3,162.0,49.0,front wheel,DCT,suv,182.0,True,Hybrid
81,122398.0,pontiac grand prix,,6.22,4400.0,5.0,4.0,110.5,17.0,97.0,20.0,2005,55.9,198.3,71.6,front wheel,AT,midsize,303.0,,gas
82,108775.0,lexus rx,,8.06,5403.0,,,106.9,19.2,,20.0,2005,66.1,186.2,72.6,front wheel,6 Speed Automatic Select Shift,Automatic transmission,230.0,True,Hybrid
83,107897.0,toyota prius,2890.0,11.28,21275.0,5.0,4.0,106.3,11.9,96.0,46.0,2005,58.1,175.0,67.9,front wheel,AT,midsize,110.0,,electric
84,104063.0,volkswagen jetta,3184.2,7.66,20641.0,5.0,4.0,100.25,14.5,87.0,24.0,2005,58.0,172.3,68.3,front wheel,MT,compact,180.0,True,Hybrid
87,103829.0,toyota 4runner,4297.916666666667,7.35,32172.5,5.0,4.0,109.79999999999995,23.0,103.09999999999998,18.0,2005,70.36666666666666,189.0,73.8,four wheel,AT,suv,245.0,True,Hybrid
90,100891.0,saturn ion,,9.27,2520.0,5.0,4.0,103.2,13.2,178.0,23.0,2005,57.4,184.5,67.2,front wheel,MT,compact,140.0,,gas
91,41011.0,chevrolet hhr,,,,,,,,,,2005,,,,,,,,,
92,116336.0,hyundai elantra,2677.0,8.26,14715.666666666666,5.0,4.0,102.70000000000005,14.5,190.0,24.0,2005,56.100000000000016,177.9,67.7,front wheel,AT,compact,138.0,,gas
93,8821.0,buick lucerne,,,,,,,,,,2005,193.0,41.0,82.0,Front-wheel drive,4 Speed Automatic,Automatic transmission,227.0,True,Hybrid
95,97388.0,mazda 3,,7.98,2052.0,,,103.9,14.5,189.0,27.0,2005,57.7,178.3,69.1,front wheel,MT,compact,148.0,,gas
96,128359.0,chevrolet colorado,,,21116.40625,4.5625,2.625,120.94062499999998,19.60000000000001,,21.0,2005,66.00625000000001,192.8,67.6,rear wheel,MT,Manual transmission,175.0,True,Hybrid
99,120958.0,ford ranger,,,19929.6,3.4,2.0,120.41199999999996,18.84,,20.5,2005,67.54400000000001,202.0,224.0,rear wheel,MT,Manual transmission,148.0,True,Hybrid
101,95318.0,toyota avalon,3548.75,5.66,29822.5,5.0,4.0,111.0,18.5,107.0,22.0,2005,58.5,197.2,72.8,front wheel,AT,large,280.0,True,Hybrid
103,17048.0,jeep commander,,,,,,,,,,2005,128.0,179.0,107.0,Rear-wheel drive,5 Speed Automatic Select Shift,Automatic transmission,210.0,True,Hybrid
104,114137.0,ford expedition,,,39703.07692307692,8.461538461538462,4.0,119.0,28.0,,16.5,2005,76.64615384615385,125.0,50.9,four wheel,AT,Automatic transmission,300.0,True,Hybrid
107,87788.0,subaru legacy outback,,,,,,,,,,2005,,,,,,,,,
108,107932.0,ford five hundred,,8.47,3324.0,5.0,4.0,112.9,19.0,,25.0,2005,,200.7,74.5,front wheel,,,203.0,,gas
109,74454.0,nissan murano,3909.0,,29266.666666666668,5.0,4.0,111.2,21.7,109.9,22.5,2005,66.5,187.6,74.0,front wheel,,suv,245.0,,gas
110,79017.0,jeep wrangler,3506.8571428571427,7.46,23048.28571428572,3.7142857142857135,2.0,96.25714285714284,19.0,,15.0,2005,71.05714285714286,167.0,66.7,four wheel,MT,suv,190.0,True,Hybrid
113,74415.0,scion tc,,7.96,2400.0,5.0,2.0,106.3,14.5,85.0,23.0,2005,55.7,174.0,69.1,front wheel,AT,subcompact,160.0,True,Hybrid
116,85557.0,chrysler pacifica,4427.4,8.22,29551.0,5.6,4.0,116.3,23.0,143.42000000000002,20.0,2005,66.5,198.9,79.3,all wheel,AT,large,250.0,,gas
117,72838.0,nissan frontier,,7.09,3562.0,,,125.9,21.1,,16.5,2005,69.7,205.5,72.8,rear wheel,5 Speed Manual,Manual transmission,265.0,True,Hybrid
119,87011.0,chevrolet suburban,,7.625,40655.0,8.4,4.0,130.0,33.4,,16.0,2005,75.28,16.0,217.0,four wheel,DCT,Automatic transmission,308.3333333333333,True,Hybrid
120,104051.0,dodge dakota,,,2982.0,3.0,2.0,131.3,22.0,,19.0,2005,68.7,173.0,29.0,rear wheel,4 Speed Automatic,Automatic transmission,210.0,True,Hybrid
122,67577.0,lexus es,3472.0,7.57,32175.0,5.0,4.0,107.1,18.5,96.4,25.0,2005,57.3,191.1,71.3,front wheel,DCT,compact,225.0,True,Hybrid
125,107862.0,gmc envoy,,7.11,4899.0,,,113.0,22.0,,16.5,2005,71.9,191.6,74.7,four wheel,,,275.0,,gas
126,76156.0,nissan pathfinder,4588.875,,29150.0,7.0,4.0,112.20000000000002,21.1,149.1,,2005,73.1,20.0,57.0,rear wheel,AT,suv,266.0,True,Hybrid
130,56088.0,kia spectra,,,2433.0,5.0,4.0,102.8,14.5,195.0,25.0,2005,57.9,170.9,68.3,front wheel,AT,midsize,,,gas
131,86945.0,nissan titan,,,28800.0,5.0,3.0,139.80000000000004,28.0,,16.0,2005,75.85,72.0,78.8,rear wheel,AT,Automatic transmission,305.0,True,Hybrid
134,73458.0,gmc yukon,,7.06,37542.5,5.5,4.0,116.0,26.0,,14.0,2005,76.6,198.9,78.9,four wheel,DCT,Automatic transmission,335.0,True,Hybrid
137,78218.0,acura tl,,6.76,5265.0,5.0,4.0,107.9,17.0,98.0,21.0,2005,56.7,189.3,72.2,front wheel,MT,midsize,270.0,True,Hybrid
140,92669.0,buick lacrosse,3521.6666666666665,8.31,25501.666666666668,5.0,4.0,110.5,17.0,99.40000000000002,24.5,2005,57.4,198.1,73.0,front wheel,DCT,midsize,200.0,True,Hybrid
143,115439.0,dodge durango,4963.666666666667,8.69,31788.33333333333,6.333333333333333,4.0,119.2,27.0,155.1,16.0,2005,74.3,200.8,133.0,four wheel,AT,suv,230.0,True,Hybrid
145,75425.0,nissan maxima,3458.6666666666665,6.18,28250.0,5.0,4.0,111.2,20.0,104.0,21.0,2005,58.29999999999999,193.5,71.7,front wheel,MT,midsize,265.0,,gas
146,90294.0,chrysler sebring,,,,,,,,86.0,21.0,2005,,,,front wheel,AT,compact,,,gas
147,71447.0,mazda 6,,8.36,2849.0,,,105.3,18.0,192.0,23.0,2005,56.7,186.8,70.1,front wheel,MT,midsize,160.0,,gas
148,68006.0,hyundai santa fe,3777.8333333333335,8.73,23582.33333333333,5.0,4.0,103.1,19.0,100.7,20.0,2005,66.0,68.0,97.0,four wheel,DCT,suv,200.0,True,Hybrid
151,63939.0,ford crown victoria,,7.88,4000.0,,,114.7,19.0,111.0,19.0,2005,56.8,212.0,77.3,rear wheel,AT,large,224.0,True,Hybrid
152,72447.0,nissan xterra,,7.02,4102.0,5.0,4.0,106.3,21.1,,18.5,2005,110.0,186.0,72.8,four wheel,6 Speed Manual,Manual transmission,265.0,True,Hybrid
155,51144.0,cadillac escalade,,,55127.5,7.0,4.0,116.0,26.0,,15.0,2005,76.5,198.9,214.0,all wheel,DCT,Automatic transmission,345.0,True,Hybrid
158,54037.0,scion xb,,9.25,,,,98.4,11.9,90.0,29.0,2005,64.6,155.3,66.5,front wheel,AT,small station wagon,108.0,True,Hybrid
161,68728.0,infiniti g35,,,,,,,,185.0,20.0,2005,,,,rear wheel,MT,compact,,,gas
