,Total_Sales,cleaned_name,curb_weight_lbs,speed_sec,msrp,pass_capacity,doors,wheelbase_in,tank_cap_gal,vol_cubft,mpg_comb,Year,height_in,length_in,width_in,drivetrain,transmission,class,horsepower_hp,hybrid,fuel_type
2306,7735.0,porsche cayenne,5009.0,7.04,73957.14285714286,5.0,4.0,112.4,26.4,,16.0,2009,66.89999999999999,188.9,75.9,all wheel,DCT,suv,290.0,True,Hybrid
2308,7557.0,suzuki grand vitara,,7.22,5924.0,5.0,4.0,103.9,17.4,,22.0,2009,66.7,177.1,71.3,rear wheel,MT,suv,230.0,True,Hybrid
2310,7533.0,hummer h3,,7.4,8347.0,5.0,4.0,111.9,23.0,,16.0,2009,73.2,187.5,74.6,four wheel,,,242.0,,gas
2311,7430.0,lexus gs,,5.98,11250.0,,,112.2,18.8,121.8,22.5,2009,56.1,190.0,71.7,rear wheel,6 Speed Automatic Select Shift,Automatic transmission,303.0,True,Hybrid
2313,7299.0,audi q7,5324.375,6.76,49515.0,6.75,4.0,118.20000000000002,26.4,,15.0,2009,68.39999999999999,200.2,78.1,all wheel,DCT,suv,350.0,True,Hybrid
2317,7204.0,volkswagen eos,,7.75,7903.0,4.0,2.0,101.5,14.5,77.0,25.0,2009,56.8,173.5,70.5,front wheel,MT,subcompact,200.0,,gas
2318,7150.0,mercedes benz clk,,,,,,,,,,2009,,,,,,,,,
2319,6839.0,porsche 911,3291.4166666666665,3.55,98583.33333333331,4.0,2.0,92.5,17.033333333333335,,19.5,2009,51.366666666666674,176.3,72.9,all wheel,MT,minicompact,480.0,,gas
2320,6786.0,audi a6,4073.0,6.14,51264.444444444445,5.0,4.0,111.9,21.1,,21.0,2009,57.46666666666666,193.5,73.0,all wheel,DCT,midsize,300.0,,gas
2321,6699.0,lexus hs250h,,,,,,,,,,2009,,,,,,,,,
2322,6672.0,mitsubishi eclipse,,9.52,5312.0,4.0,2.0,101.4,17.7,82.0,19.0,2009,53.5,180.4,72.2,front wheel,MT,subcompact,162.0,,gas
2323,6440.0,infiniti qx56,,,,,,,,,,2009,184.0,135.0,209.0,Rear-wheel drive,5 Speed Automatic,Automatic transmission,320.0,True,Hybrid
2326,6298.0,saturn astra,,8.93,3659.0,,,102.9,12.0,104.6,28.0,2009,57.4,170.5,69.0,front wheel,,,138.0,,gas
2327,6256.0,mercury sable,,6.54,6742.0,5.0,4.0,112.9,20.0,108.0,19.0,2009,,202.1,74.5,all wheel,AT,midsize,263.0,,gas
2328,6235.0,lexus gx,4871.0,7.68,47615.0,5.0,4.0,109.8,23.0,103.9,15.0,2009,74.6,188.2,74.0,four wheel,AT,suv,263.0,,gas
2329,6223.0,pontiac g3,,9.82,3583.0,5.0,4.0,97.6,12.0,,30.0,2009,59.3,155.0,66.1,front wheel,,,106.0,,gas
2330,6106.0,ford taurus x,,7.53,8081.0,6.0,4.0,112.9,19.0,,19.0,2009,67.6,200.3,74.9,front wheel,,,263.0,,gas
2331,6067.0,bmw x3,4012.0,6.24,39700.0,5.0,4.0,110.1,17.7,90.1,19.0,2009,65.9,179.9,73.0,all wheel,MT,suv,260.0,True,Hybrid
2333,6037.0,cadillac sts,,6.2,9192.0,5.0,4.0,116.4,17.0,102.0,18.0,2009,57.6,196.7,72.6,rear wheel,AT,midsize,302.0,True,Hybrid
2335,5996.0,chrysler aspen,,7.09,9278.0,8.0,4.0,119.2,27.0,,16.0,2009,,200.8,76.0,all wheel,,,303.0,,gas
2336,5930.0,subaru tribeca,,6.92,7823.0,5.0,4.0,108.2,16.9,,18.5,2009,66.4,191.5,73.9,all wheel,,,256.0,,gas
2337,5895.0,volvo s60,3558.333333333333,8.11,33500.0,5.0,4.0,107.0,18.0,92.0,21.8,2009,56.2,181.2,71.0,front wheel,DCT,compact,208.0,True,Hybrid
2339,5825.0,volvo xc70,,7.33,8225.0,5.0,4.0,110.0,18.5,,19.0,2009,63.0,190.5,73.3,all wheel,6 Speed Automatic,Automatic transmission,235.0,True,Hybrid
2342,5642.0,pontiac solstice,,6.98,6556.0,2.0,2.0,95.1,13.0,,21.0,2009,50.9,157.2,71.3,rear wheel,AT,two seater,173.0,,gas
2343,5525.0,mazda tribute,,6.5,6487.0,5.0,4.0,103.1,16.5,,20.5,2009,67.9,174.9,71.1,all wheel,5 Speed Manual,Manual transmission,240.0,True,Hybrid
2345,5428.0,saab 9 3,,6.99,7590.0,5.0,4.0,105.3,16.4,108.4,23.0,2009,57.1,182.9,69.0,front wheel,,,210.0,,gas
2346,5170.0,volvo c70,,7.77,9950.0,4.0,2.0,103.9,16.4,,21.0,2009,55.1,180.4,72.3,front wheel,5 Speed Automatic,Automatic transmission,227.0,True,Hybrid
2349,5169.0,mercury mountaineer,,,,,,,,,,2009,,,,,,,,,
2350,4857.0,gmc envoy,,6.88,8370.0,5.0,4.0,113.0,22.0,,16.0,2009,71.9,,,rear wheel,,,285.0,,gas
2351,4787.0,bmw x6,5081.5,6.98,61275.0,4.0,4.0,115.5,22.5,,16.0,2009,66.5,192.1,78.1,all wheel,DCT,suv,300.0,True,Hybrid
2353,4433.0,land rover lr2,,7.67,8843.0,5.0,4.0,104.7,18.5,,17.0,2009,68.5,146.0,212.0,all wheel,AT,suv,230.0,True,Hybrid
2355,4392.0,volkswagen touareg,,7.57,9825.0,5.0,4.0,112.4,26.4,,15.0,2009,68.0,187.2,75.9,four wheel,AT,suv,280.0,True,Hybrid
2357,4357.0,suzuki xl7,,7.77,6857.0,7.0,4.0,112.4,18.6,,20.5,2009,68.9,197.2,72.2,front wheel,,,252.0,,gas
2358,4267.0,volvo c30,,6.58,5950.0,4.0,2.0,103.9,15.9,102.1,23.5,2009,57.0,167.4,70.2,front wheel,6 Speed Manual,Manual transmission,227.0,True,Hybrid
2361,4025.0,mercedes benz sl class,4369.8,5.44,173260.0,2.0,2.0,100.8,21.1,,15.0,2009,51.1,178.5,71.5,rear wheel,DCT,two seater,382.0,True,Hybrid
2362,3874.0,audi a3,3312.5625,7.27,28774.6875,5.0,4.0,101.5,14.5,89.0,24.0,2009,56.0,166.9,78.5,front wheel,DCT,small station wagon,200.0,True,Hybrid
2366,3808.0,hyundai azera,,6.48,7230.0,5.0,4.0,109.4,19.8,107.0,20.0,2009,58.7,192.7,72.8,front wheel,AT,large,263.0,True,Hybrid
2368,3769.0,suzuki forenza reno,,,,,,,,,,2009,,,,,,,,,
2369,3704.0,kia amanti,,7.14,6511.0,5.0,4.0,110.2,18.5,106.0,19.0,2009,58.5,196.9,72.8,front wheel,AT,large,264.0,,gas
2370,3616.0,lexus lx,5995.0,6.77,75855.0,8.0,4.0,112.2,24.6,143.4,14.0,2009,75.6,196.5,77.6,four wheel,DCT,suv,383.0,True,Hybrid
2372,3549.0,bmw 6,4045.5,3.69,81750.0,4.0,2.0,109.4,18.5,81.5,17.0,2009,54.1,191.8,73.0,rear wheel,MT,subcompact,500.0,,gas
2373,3523.0,bmw z4,3345.5,5.22,48700.0,2.0,2.0,98.3,14.5,,21.0,2009,50.8,166.9,70.5,rear wheel,MT,two seater,300.0,,gas
2374,3521.0,dodge durango,4849.142857142857,7.19,35391.42857142857,6.428571428571429,4.0,119.20000000000002,27.0,108.6,15.857142857142858,2009,74.3,200.8,133.0,four wheel,AT,suv,303.0,True,Hybrid
2376,3433.0,hyundai entourage,,8.12,5038.0,7.0,4.0,118.9,21.1,,18.0,2009,71.5,202.0,78.1,front wheel,AT,minivan,250.0,,gas
2377,3399.0,saturn sky,,6.99,7547.0,2.0,2.0,95.1,13.0,,21.0,2009,50.1,161.1,71.4,rear wheel,AT,two seater,173.0,,gas
2378,3228.0,mitsubishi endeavor,,8.35,6110.0,5.0,4.0,108.3,21.4,106.7,18.5,2009,70.2,190.8,73.6,front wheel,4 Speed Automatic Select Shift,Automatic transmission,225.0,True,Hybrid
2380,3197.0,land rover lr3,,7.93,11493.0,5.0,4.0,113.6,22.8,,14.0,2009,74.5,,,all wheel,AT,suv,300.0,,gas
2381,2825.0,mercedes benz r class,,7.65,11912.0,,,126.6,21.1,177.3,17.0,2009,65.2,203.0,75.7,all wheel,7 Speed Automatic,Automatic transmission,268.0,True,Hybrid
2383,2580.0,lincoln mkt,,,,,,,,,,2009,175.0,153.0,138.0,All-wheel drive,6 Speed Automatic Select Shift,Automatic transmission,355.0,True,Hybrid
2386,2566.0,mercedes benz slk,,,,,,,,,,2009,,,,,,,,,
2387,2527.0,mercedes benz cls class,4115.0,5.25,83500.0,4.0,4.0,112.4,21.1,104.3,15.0,2009,54.7,193.0,73.7,rear wheel,DCT,compact,382.0,True,Hybrid
2389,2274.0,jaguar xk,,4.13,21850.0,4.0,2.0,108.3,18.8,74.0,19.0,2009,52.0,188.6,81.5,rear wheel,AT,minicompact,420.0,,gas
2390,2261.0,toyota land cruiser,5690.0,6.54,64755.0,8.0,4.0,112.2,25.4,,15.0,2009,74.0,194.9,77.6,four wheel,DCT,suv,381.0,True,Hybrid
2392,2221.0,suzuki equator,,7.12,5723.0,4.0,2.0,125.9,21.1,,17.5,2009,69.7,206.6,57.0,rear wheel,5 Speed Automatic,Automatic transmission,261.0,True,Hybrid
2394,2218.0,saab 9 7x,,5.58,12276.0,5.0,4.0,113.0,22.0,,13.0,2009,,,,all wheel,,,390.0,,gas
2395,2217.0,mazda rx 8,,5.79,7982.0,4.0,2.0,106.4,16.9,89.0,18.0,2009,52.8,175.6,69.7,rear wheel,MT,subcompact,232.0,True,Hybrid
2397,2155.0,volvo v50,,9.11,7450.0,5.0,4.0,103.9,15.9,,23.0,2009,57.4,169.0,69.7,front wheel,5 Speed Automatic,Automatic transmission,168.0,True,Hybrid
2399,2043.0,acura rl,,6.1,10479.0,5.0,4.0,110.2,19.4,99.0,18.0,2009,57.2,195.8,72.7,all wheel,AT,midsize,300.0,True,Hybrid
2402,1966.0,porsche cayman,,4.45,10374.0,2.0,2.0,95.1,16.9,,24.0,2009,51.4,172.3,70.9,rear wheel,AT,two seater,320.0,True,Hybrid
2404,1955.0,chrysler pacifica,4516.333333333333,8.26,30130.0,5.666666666666667,4.0,116.3,23.0,143.49999999999997,19.0,2009,68.3,198.5,79.3,front wheel,AT,large,253.0,,gas
2405,1944.0,mitsubishi raider,,7.95,5283.0,5.0,2.0,131.3,22.0,,18.0,2009,68.6,219.9,71.7,rear wheel,,,210.0,,gas
2406,1935.0,audi tt,3238.5,5.38,40072.0,3.0,2.0,97.20000000000005,14.5,,22.85,2009,53.5,164.5,72.5,all wheel,DCT,two seater,200.0,,gas
2407,1909.0,porsche boxster,,4.56,6570.0,,,95.1,16.9,,24.0,2009,50.9,172.1,70.9,rear wheel,AT,two seater,310.0,True,Hybrid
2409,1816.0,volvo v70,,7.41,8225.0,5.0,4.0,110.8,18.5,,20.0,2009,60.6,189.9,73.3,front wheel,6 Speed Automatic,Automatic transmission,235.0,True,Hybrid
2410,1758.0,chevrolet uplander,,8.17,5092.0,7.0,4.0,113.0,20.0,,19.5,2009,70.5,191.0,72.0,front wheel,,,240.0,,gas
2411,1534.0,nissan gt r,3821.5,3.59,77965.0,4.0,2.0,109.5,19.5,88.0,18.0,2009,54.0,183.3,74.6,all wheel,DCT,subcompact,480.0,,gas
2412,1513.0,hummer h2,,,15772.0,5.0,4.0,122.8,32.0,,,2009,79.2,,67.6,four wheel,,,393.0,,gas
2413,1463.0,audi a8,,5.75,18512.0,,,115.9,23.8,100.0,18.0,2009,56.9,199.3,74.6,all wheel,AT,midsize,350.0,True,Hybrid
2416,1247.0,porsche panamera,,,,,,,,,,2009,,,,,,,,,
2417,1220.0,mercedes benz cl class,,5.6,26975.0,,,116.3,23.8,105.0,17.5,2009,55.7,199.4,73.7,all wheel,7 Speed Automatic Select Shift,Automatic transmission,382.0,True,Hybrid
2419,1161.0,jaguar xj,3902.1666666666665,5.99,82141.66666666667,5.0,4.0,122.73333333333332,22.5,105.0,19.0,2009,57.2,200.4,76.5,rear wheel,AT,large,300.0,True,Hybrid
2422,1034.0,saab 9 5,,6.89,10101.0,5.0,4.0,106.4,18.0,112.1,22.0,2009,57.2,190.4,70.5,front wheel,AT,midsize,260.0,,gas
2423,795.0,honda s2000,,5.35,9248.0,2.0,2.0,94.5,13.2,,21.0,2009,50.7,162.1,68.9,rear wheel,MT,two seater,237.0,,gas
2424,787.0,cadillac xlr,,5.57,21553.0,2.0,2.0,105.7,18.0,,18.0,2009,50.4,177.7,72.3,rear wheel,AT,two seater,320.0,,gas
2425,720.0,lexus sc430,,,,,,,,,,2009,,,,,,,,,
2426,699.0,audi r8,,3.8,28550.0,2.0,2.0,104.3,23.8,,15.0,2009,,174.5,75.0,all wheel,MT,two seater,420.0,,gas
2427,662.0,mercedes benz g class,5627.5,6.37,109850.0,5.0,4.0,112.2,25.4,124.0,12.0,2009,77.8,184.5,71.8,four wheel,AT,suv,382.0,True,Hybrid
2429,573.0,mazda b,,,,,,,,,,2009,,,,,,,,,
2430,499.0,chrysler crossfire,,6.13,7294.0,,,94.5,15.9,,19.0,2009,51.5,159.8,69.5,rear wheel,,,215.0,,gas
2431,482.0,dodge viper,,3.1,22376.0,,,98.8,16.0,,17.5,2009,,175.7,75.2,rear wheel,,,600.0,,gas
2432,265.0,pontiac grand prix,,8.27,4664.0,5.0,4.0,110.5,17.0,114.0,23.0,2009,55.9,198.3,71.6,front wheel,AT,midsize,200.0,,gas
2433,147.0,lincoln mark lt,,,,,,,,,14.0,2009,,,,rear wheel,AT,pickup truck,,,gas
2434,113.0,dodge magnum,,8.99,4918.0,5.0,4.0,120.0,18.0,133.1,22.0,2009,58.3,197.7,74.1,rear wheel,AT,suv,178.0,,gas
2435,528349.0,ford f,,8.8,33220.93220338983,5.11864406779661,2.8813559322033897,147.3983050847458,30.406779661016948,,15.966101694915254,2010,74.94406779661021,,,rear wheel,DCT,,299.5,,gas
2436,370135.0,chevrolet silverado,,,30806.93548387097,5.032258064516129,2.5806451612903225,141.69354838709677,28.580645161290324,,16.161290322580644,2010,73.71612903225808,,80.0,rear wheel,DCT,,315.0,,flex fuel
2437,327804.0,toyota camry,3389.909090909091,9.18,23585.90909090909,5.0,4.0,109.29999999999995,18.38181818181818,101.0,26.0,2010,57.809090909090905,189.2,71.7,front wheel,AT,midsize,169.0,True,Hybrid
2440,311381.0,honda accord,,6.7,7142.0,,,110.2,18.5,106.0,25.0,2010,58.1,194.3,72.7,front wheel,AT,large,271.0,,gas
2441,266082.0,toyota corolla,2806.875,9.63,17410.0,5.0,4.0,102.4,13.2,92.0,29.0,2010,57.7,178.7,69.3,front wheel,AT,compact,132.0,True,Hybrid
2443,260218.0,honda civic,2790.619047619048,6.89,20511.42857142857,5.0,4.0,106.29999999999998,12.942857142857138,175.0,29.0,2010,56.5,177.3,69.0,front wheel,AT,compact,197.0,,gas
2444,229263.0,nissan altima,3235.333333333333,8.44,24347.777777777777,5.0,3.111111111111111,107.5222222222222,20.0,101.0,27.0,2010,56.777777777777786,180.9,70.7,front wheel,MT,midsize,175.0,,gas
2445,219219.0,ford fusion,3481.1666666666665,6.03,24758.33333333333,5.0,4.0,107.4,17.166666666666668,100.3,22.83333333333333,2010,56.9,190.6,80.1,front wheel,AT,midsize,265.0,True,Hybrid
2448,203714.0,honda cr v,3475.5,8.06,25720.0,5.0,4.0,103.1,15.3,101.625,23.5,2010,66.10000000000001,177.9,71.6,four wheel,AT,suv,180.0,True,Hybrid
2450,199652.0,dodge ram,,,11320.0,6.0,4.0,140.5,26.0,,17.0,2010,75.1,,51.0,rear wheel,,,390.0,,gas
2451,198770.0,chevrolet malibu,3484.0,9.73,24167.5,5.0,4.0,112.3,16.3,95.0,22.0,2010,57.1,191.8,70.3,front wheel,DCT,midsize,169.0,True,Hybrid
2454,196623.0,hyundai sonata,3360.222222222222,7.05,22477.777777777777,5.0,4.0,107.4,17.7,105.0,25.0,2010,58.0,188.9,72.1,front wheel,DCT,large,249.0,True,Hybrid
2457,191026.0,ford escape,3393.833333333333,8.27,24438.33333333333,5.0,4.0,103.1,16.5,99.5,22.666666666666668,2010,67.85000000000001,85.0,13.0,four wheel,AT,suv,171.0,True,Hybrid
2460,172421.0,ford focus,2660.6666666666665,8.18,17828.333333333332,5.0,3.333333333333333,102.9,13.5,93.36666666666666,28.0,2010,58.6,175.0,67.9,front wheel,MT,compact,140.0,,gas
2461,172078.0,chevrolet impala,3586.333333333333,7.73,26591.666666666668,5.0,4.0,110.5,17.0,105.0,21.0,2010,58.70000000000001,200.4,72.9,front wheel,DCT,large,230.0,True,Hybrid
2464,170877.0,toyota rav4,3549.1666666666665,6.14,24918.33333333333,5.0,4.0,104.70000000000005,15.900000000000004,108.20000000000005,22.63636363636364,2010,67.9,181.9,73.0,four wheel,AT,suv,269.0,True,Hybrid
2466,149979.0,chevrolet equinox,3864.125,,25872.5,5.0,4.0,112.5,18.8,99.70000000000002,24.5,2010,66.3,162.0,49.0,front wheel,AT,suv,182.0,True,Hybrid
2469,140928.0,toyota prius,3042.0,12.78,24534.0,5.0,4.0,106.3,11.9,94.0,50.0,2010,58.7,175.0,67.9,front wheel,AT,midsize,98.0,,electric
2470,132246.0,hyundai elantra,2933.4444444444443,9.85,17289.444444444445,5.0,4.0,105.18888888888888,14.0,98.0,29.0,2010,58.96666666666667,177.4,69.9,front wheel,AT,midsize,132.0,,gas
2471,129794.0,gmc sierra,,7.57,31910.454545454544,5.03030303030303,2.6666666666666665,141.8030303030303,28.424242424242426,,16.03125,2010,73.71818181818185,218.0,50.6,rear wheel,DCT,,315.0,,flex fuel
2472,123213.0,volkswagen jetta,3271.0,6.88,22131.25,5.0,4.0,101.5,14.5,91.0,25.0,2010,59.2,179.3,70.1,front wheel,DCT,small station wagon,200.0,True,Hybrid
2475,118637.0,ford edge,4168.0,6.94,32584.28571428572,5.0,4.0,111.20000000000002,19.88571428571429,108.4,19.571428571428573,2010,67.0,185.7,75.8,front wheel,AT,suv,265.0,True,Hybrid
2478,112275.0,chrysler town country,,,,,,,,,,2010,,,,,,,,,
2479,108985.0,kia sorento,4156.6,7.04,24285.0,5.0,4.0,106.7,21.1,137.5,18.0,2010,70.66,180.7,74.2,front wheel,AT,suv,262.0,True,Hybrid
2481,108182.0,honda odyssey,4536.428571428572,8.85,33512.142857142855,7.857142857142857,4.0,118.1,21.0,,18.0,2010,69.82857142857144,202.1,77.1,front wheel,AT,minivan,244.0,True,Hybrid
2484,106744.0,chevrolet traverse,4928.0,6.88,34319.75,7.5,4.0,118.9,22.0,153.1,19.0,2010,70.39999999999999,205.0,78.4,front wheel,DCT,suv,288.0,True,Hybrid
2487,106353.0,mazda 3,,8.36,4450.0,,,103.9,14.5,189.0,28.0,2010,57.9,180.7,69.1,front wheel,MT,compact,148.0,,gas
2488,106198.0,toyota tacoma,,,22100.555555555555,4.055555555555555,2.555555555555556,124.93333333333337,21.0,,18.88888888888889,2010,68.76111111111112,190.4,41.0,rear wheel,MT,Manual transmission,236.0,True,Hybrid
2490,103323.0,dodge grand caravan,4402.0,10.76,26085.0,7.0,4.0,121.2,20.0,,20.0,2010,68.9,202.5,161.0,front wheel,AT,minivan,175.0,True,Hybrid
2493,102323.0,honda pilot,4459.083333333333,8.23,34736.666666666664,8.0,4.0,109.20000000000005,21.0,153.03333333333336,18.5,2010,72.41666666666667,190.9,78.5,front wheel,AT,suv,250.0,True,Hybrid
2496,100910.0,bmw 3,3598.333333333333,6.25,39097.619047619046,4.571428571428571,3.142857142857143,108.70000000000002,16.100000000000005,90.41904761904765,20.80952380952381,2010,55.32857142857142,178.2,71.5,rear wheel,MT,compact,230.0,,gas
2497,99705.0,nissan versa,2656.555555555556,9.21,13533.333333333334,5.0,4.0,102.4,13.2,189.0,28.0,2010,60.39999999999999,169.1,66.7,front wheel,AT,compact,122.0,,gas
2498,99515.0,nissan rogue,3401.0,8.95,22815.0,5.0,4.0,105.9,15.9,97.5,23.5,2010,65.96666666666667,182.9,70.9,front wheel,,suv,170.0,,gas
2499,98337.0,toyota sienna,4299.222222222223,7.05,29609.444444444445,7.222222222222222,4.0,119.29999999999998,20.0,133.6,18.666666666666668,2010,68.89999999999999,201.0,77.4,front wheel,AT,minivan,266.0,True,Hybrid
2502,97376.0,chevrolet cobalt,,7.76,4544.0,5.0,2.0,103.3,13.0,169.0,30.0,2010,55.5,180.5,67.9,front wheel,MT,subcompact,155.0,,gas
2503,95790.0,lexus rx,,7.48,10911.0,,,107.9,19.2,,21.5,2010,66.3,187.8,74.2,front wheel,6 Speed Automatic Select Shift,Automatic transmission,275.0,True,Hybrid
2504,94310.0,jeep wrangler,3867.0,7.69,23705.0,4.0,2.0,95.4,18.6,102.9,17.0,2010,70.9,183.7,82.8,four wheel,MT,suv,205.0,True,Hybrid
2507,94065.0,nissan sentra,2978.8571428571427,9.57,17794.285714285714,5.0,4.0,105.70000000000002,14.5,97.0,29.0,2010,59.44285714285714,180.1,70.5,front wheel,AT,compact,177.0,True,Hybrid
2510,93309.0,toyota tundra,,,30256.45833333333,4.75,3.333333333333333,144.12499999999991,26.399999999999988,,15.708333333333334,2010,75.86666666666665,228.7,237.0,rear wheel,DCT,Automatic transmission,310.0,True,Hybrid
2512,93148.0,subaru outback,3515.1304347826085,6.29,27102.17391304348,5.0,4.0,107.9,18.5,104.09565217391304,22.60869565217392,2010,65.69999999999996,188.2,71.7,all wheel,MT,midsize station wagon,256.0,True,Hybrid
2515,92121.0,toyota highlander,4209.555555555556,7.61,32279.545454545456,6.636363636363637,4.0,109.79999999999995,18.836363636363632,145.63333333333335,20.90909090909091,2010,68.86363636363636,188.4,75.2,four wheel,AT,suv,209.0,True,Hybrid
2518,85080.0,subaru forester,3331.2,7.41,24379.0,5.0,4.0,103.0,16.89999999999999,103.85999999999994,21.88,2010,66.58000000000003,207.0,244.0,all wheel,AT,suv,170.0,True,Hybrid
2521,84635.0,jeep grand cherokee,4456.2,5.36,36723.0,5.0,4.0,109.5,20.98,108.9,15.8,2010,68.46000000000001,195.1,73.3,four wheel,AT,suv,420.0,True,Hybrid
2524,81299.0,chevrolet camaro,3786.8,4.36,27665.0,4.0,2.0,112.3,19.0,93.0,21.0,2010,54.2,190.4,75.5,rear wheel,MT,compact,426.0,,gas
2525,76680.0,hyundai santa fe,3912.5,7.09,26101.25,5.0,4.0,106.29999999999998,19.8,108.29999999999998,22.625,2010,67.89999999999999,184.1,74.4,front wheel,DCT,suv,276.0,True,Hybrid
2528,75675.0,chevrolet tahoe,,7.65,46794.375,8.25,4.0,116.0,25.5,,18.125,2010,76.35,202.0,79.0,rear wheel,DCT,Automatic transmission,320.0,True,Hybrid
2530,75401.0,chevrolet hhr,,5.92,7613.0,5.0,4.0,103.5,16.0,122.6,24.0,2010,63.1,176.2,69.1,front wheel,,,260.0,,gas
2531,75397.0,dodge charger,4050.571428571429,5.46,29794.090909090908,5.0,4.0,120.0,18.818181818181817,104.0,19.0,2010,58.154545454545456,200.1,74.5,rear wheel,AT,large,368.0,True,Hybrid
2534,73716.0,ford mustang,3615.0,6.75,32961.0,4.0,2.0,107.1,16.0,85.0,19.0,2010,55.85000000000001,188.1,80.1,rear wheel,MT,compact,210.0,,gas
2535,68859.0,ford taurus,4143.5,7.51,30816.666666666668,5.0,4.0,112.9,19.5,102.2,20.166666666666668,2010,60.7,202.9,85.7,front wheel,AT,large,263.0,True,Hybrid
2538,68500.0,kia forte,2781.4,7.69,16795.0,5.0,3.2,104.29999999999998,13.7,187.0,30.0,2010,56.540000000000006,178.3,69.9,front wheel,AT,midsize,156.0,True,Hybrid
2541,68295.0,gmc acadia,4829.0,7.25,37093.75,7.5,4.0,118.9,22.0,154.0,19.0,2010,69.89999999999999,200.7,78.2,front wheel,DCT,suv,288.0,True,Hybrid
2544,67110.0,kia soul,2774.285714285714,8.47,16495.714285714286,5.0,4.0,100.4,12.7,102.0,28.0,2010,63.39999999999999,161.6,70.3,front wheel,MT,small station wagon,142.0,True,Hybrid
2547,61178.0,buick lacrosse,4005.0,7.2,29562.0,5.0,4.0,111.7,18.62,101.7,20.4,2010,59.2,196.9,73.1,front wheel,DCT,midsize,280.0,True,Hybrid
2550,60922.0,mercedes benz e class,3943.2,6.59,56186.36363636364,4.818181818181818,3.636363636363636,111.9727272727273,20.42727272727273,97.00000000000004,18.63636363636364,2010,57.127272727272725,191.7,75.9,rear wheel,DCT,midsize,268.0,,gas
2551,60687.0,ford explorer,,8.88,34355.0,6.25,4.0,113.70000000000002,22.5,,16.25,2010,71.89999999999999,193.4,73.7,four wheel,AT,Automatic transmission,210.0,True,Hybrid
2554,60569.0,nissan maxima,3559.5,6.35,32730.0,5.0,4.0,109.3,20.0,96.0,22.0,2010,57.8,190.6,73.2,front wheel,MT,midsize,290.0,,gas
2555,60519.0,gmc terrain,4031.375,9.04,27750.0,5.0,4.0,112.5,18.0,,24.5,2010,66.3,185.3,72.8,front wheel,AT,suv,182.0,True,Hybrid
2558,58785.0,mercedes benz c class,3567.333333333333,6.52,36230.0,5.0,4.0,108.7,17.4,88.2,20.4,2010,56.54,182.3,69.7,rear wheel,AT,compact,228.0,True,Hybrid
2560,58143.0,infiniti g,,,,,,,,,,2010,,,,,,,,,
2561,55426.0,buick enclave,4880.0,7.02,39713.333333333336,7.0,4.0,118.9,22.0,153.0,18.5,2010,72.5,201.8,79.0,front wheel,AT,suv,288.0,True,Hybrid
2564,55364.0,ford ranger,,,21715.555555555555,4.222222222222222,2.0,122.5888888888889,18.944444444444443,,20.11111111111111,2010,66.58888888888889,203.6,71.3,rear wheel,MT,Manual transmission,207.0,True,Hybrid
2566,54354.0,honda fit,2560.6,8.96,16940.0,5.0,4.0,98.4,10.6,91.0,31.0,2010,60.0,161.6,66.7,front wheel,MT,small station wagon,117.0,True,Hybrid
2569,53999.0,nissan murano,3965.8333333333335,7.42,32770.0,5.0,4.0,111.2,21.7,108.6,20.0,2010,67.18333333333334,188.5,74.1,front wheel,,suv,265.0,,gas
2570,51975.0,hyundai accent,2461.333333333333,9.32,13777.142857142857,5.0,2.571428571428572,98.4,11.900000000000002,184.0,30.0,2010,57.89999999999999,159.3,66.7,front wheel,MT,compact,110.0,,gas
2571,51094.0,cadillac srx,,6.3,11572.0,5.0,4.0,110.5,21.0,,19.0,2010,65.7,194.9,75.2,all wheel,6 Speed Automatic Select Shift,Automatic transmission,265.0,True,Hybrid
2573,50923.0,dodge avenger,,8.76,5375.0,5.0,4.0,108.9,16.9,101.0,24.0,2010,58.9,190.9,71.8,front wheel,AT,midsize,173.0,True,Hybrid
2576,49564.0,jeep liberty,,8.16,6743.0,5.0,4.0,106.1,19.5,,19.0,2010,70.6,176.9,72.4,rear wheel,4 Speed Automatic,Automatic transmission,210.0,True,Hybrid
2579,48652.0,lexus es,3605.0,6.75,35175.0,5.0,4.0,109.3,18.5,95.4,22.0,2010,56.3,191.7,71.7,front wheel,DCT,compact,272.0,True,Hybrid
2582,48623.0,chevrolet aveo,,9.74,3469.0,5.0,4.0,97.6,12.0,91.0,28.0,2010,59.3,169.7,67.3,front wheel,AT,subcompact,108.0,True,Hybrid
2583,48577.0,dodge journey,4045.4,8.24,24357.0,5.0,4.0,113.8,20.74,125.6,19.0,2010,66.6,192.4,72.2,front wheel,AT,suv,235.0,True,Hybrid
2586,47321.0,toyota venza,,9.42,7312.0,,,109.3,17.7,,24.0,2010,63.4,189.0,75.0,front wheel,AT,suv,182.0,True,Hybrid
2588,47210.0,acura mdx,4580.0,6.61,48310.0,7.0,4.0,108.3,21.0,142.2,18.0,2010,68.2,191.6,78.5,all wheel,AT,suv,300.0,True,Hybrid
2591,46531.0,toyota 4runner,4575.0,10.74,33475.833333333336,5.0,4.0,109.8,24.0,97.3,19.0,2010,70.33333333333333,189.9,75.8,rear wheel,AT,suv,157.0,True,Hybrid
