,Total_Sales,cleaned_name,curb_weight_lbs,speed_sec,msrp,pass_capacity,doors,wheelbase_in,tank_cap_gal,vol_cubft,mpg_comb,class,Year,height_in,length_in,width_in,drivetrain,transmission,fuel,horsepower_hp
59,213584.0,jeep grand cherokee,4338.75,8.08,30207.5,5.0,4.0,109.5,20.8,108.9,17.5,suv,2005,69.4,186.7,84.2,four wheel,AT,gas,230.0
62,133740.0,chrysler pt cruiser,,8.77,2029.0,,,103.0,15.0,,19.0,suv,2005,63.0,168.8,67.1,front wheel,AT,gas,150.0
63,166883.0,jeep liberty,,7.69,3783.0,5.0,4.0,104.3,20.5,,19.5,,2005,70.9,174.4,71.6,four wheel,Automatic transmission,gas,210.0
66,137409.0,toyota highlander,3707.5,7.73,26996.25,6.25,4.0,106.9,19.1,122.95,20.0,suv,2005,68.05,184.6,71.9,front wheel,AT,gas,230.0
69,126529.0,toyota tundra,,,25974.0,5.15,2.4,130.79000000000000,26.400000000000000,,17.0,,2005,71.48000000000000,208.0,75.2,rear wheel,DCT,gas,282.0
71,106950.0,bmw 3,3407.4375,7.15,35928.125,4.8125,3.125,107.32500000000000,16.600000000000000,87.15625,22.5,compact,2005,55.04375000000000,176.0,68.5,rear wheel,MT,gas,184.0
72,119489.0,nissan sentra,2608.5,8.71,15020.0,5.0,4.0,99.80000000000000,13.2,88.0,27.0,compact,2005,55.5,177.5,67.3,front wheel,AT,gas,126.0
75,44804.0,dodge charger,,,,,,,,,,,2005,203.0,213.0,113.0,Rear-wheel drive,Automatic transmission,Gasoline,292.0
78,130542.0,chevrolet equinox,3718.0,,23077.5,5.0,4.0,112.5,16.7,106.4,,suv,2005,69.3,162.0,49.0,front wheel,DCT,gas,182.0
81,122398.0,pontiac grand prix,,6.22,4400.0,5.0,4.0,110.5,17.0,97.0,20.0,midsize,2005,55.9,198.3,71.6,front wheel,AT,gas,303.0
82,108775.0,lexus rx,,8.06,5403.0,,,106.9,19.2,,20.0,,2005,66.1,186.2,72.6,front wheel,Automatic transmission,gas,230.0
83,107897.0,toyota prius,2890.0,11.28,21275.0,5.0,4.0,106.3,11.9,96.0,46.0,midsize,2005,58.1,175.0,67.9,front wheel,AT,electric,110.0
84,104063.0,volkswagen jetta,3184.2,7.66,20641.0,5.0,4.0,100.25,14.5,87.0,24.0,compact,2005,58.0,172.3,68.3,front wheel,MT,gas,180.0
87,103829.0,toyota 4runner,4297.916666666670,7.35,32172.5,5.0,4.0,109.80000000000000,23.0,103.10000000000000,18.0,suv,2005,70.36666666666670,189.0,73.8,four wheel,AT,gas,245.0
90,100891.0,saturn ion,,9.27,2520.0,5.0,4.0,103.2,13.2,178.0,23.0,compact,2005,57.4,184.5,67.2,front wheel,MT,gas,140.0
91,41011.0,chevrolet hhr,,,,,,,,,,,2005,,,,,,,
92,116336.0,hyundai elantra,2677.0,8.26,14715.666666666700,5.0,4.0,102.70000000000000,14.5,190.0,24.0,compact,2005,56.100000000000000,177.9,67.7,front wheel,AT,gas,138.0
93,8821.0,buick lucerne,,,,,,,,,,,2005,193.0,41.0,82.0,Front-wheel drive,Automatic transmission,E85,227.0
95,97388.0,mazda 3,,7.98,2052.0,,,103.9,14.5,189.0,27.0,compact,2005,57.7,178.3,69.1,front wheel,MT,gas,148.0
96,128359.0,chevrolet colorado,,,21116.40625,4.5625,2.625,120.94062500000000,19.60000000000000,,21.0,,2005,66.00625000000000,192.8,67.6,rear wheel,MT,gas,175.0
99,120958.0,ford ranger,,,19929.6,3.4,2.0,120.41200000000000,18.84,,20.5,,2005,67.54400000000000,202.0,224.0,rear wheel,MT,gas,148.0
101,95318.0,toyota avalon,3548.75,5.66,29822.5,5.0,4.0,111.0,18.5,107.0,22.0,large,2005,58.5,197.2,72.8,front wheel,AT,gas,280.0
103,17048.0,jeep commander,,,,,,,,,,,2005,128.0,179.0,107.0,Rear-wheel drive,Automatic transmission,Gasoline,210.0
104,114137.0,ford expedition,,,39703.07692307690,8.461538461538460,4.0,119.0,28.0,,16.5,,2005,76.64615384615390,125.0,50.9,four wheel,AT,gas,300.0
107,87788.0,subaru legacy outback,,,,,,,,,,,2005,,,,,,,
108,107932.0,ford five hundred,,8.47,3324.0,5.0,4.0,112.9,19.0,,25.0,,2005,,200.7,74.5,front wheel,,gas,203.0
109,74454.0,nissan murano,3909.0,,29266.666666666700,5.0,4.0,111.2,21.7,109.9,22.5,suv,2005,66.5,187.6,74.0,front wheel,,gas,245.0
110,79017.0,jeep wrangler,3506.8571428571400,7.46,23048.28571428570,3.7142857142857100,2.0,96.25714285714280,19.0,,15.0,suv,2005,71.05714285714290,167.0,66.7,four wheel,MT,gas,190.0
113,74415.0,scion tc,,7.96,2400.0,5.0,2.0,106.3,14.5,85.0,23.0,subcompact,2005,55.7,174.0,69.1,front wheel,AT,gas,160.0
116,85557.0,chrysler pacifica,4427.4,8.22,29551.0,5.6,4.0,116.3,23.0,143.42000000000000,20.0,large,2005,66.5,198.9,79.3,all wheel,AT,gas,250.0
117,72838.0,nissan frontier,,7.09,3562.0,,,125.9,21.1,,16.5,,2005,69.7,205.5,72.8,rear wheel,Manual transmission,gas,265.0
119,87011.0,chevrolet suburban,,7.625,40655.0,8.4,4.0,130.0,33.4,,16.0,,2005,75.28,16.0,217.0,four wheel,DCT,gas,308.3333333333330
120,104051.0,dodge dakota,,,2982.0,3.0,2.0,131.3,22.0,,19.0,,2005,68.7,173.0,29.0,rear wheel,Automatic transmission,gas,210.0
122,67577.0,lexus es,3472.0,7.57,32175.0,5.0,4.0,107.1,18.5,96.4,25.0,compact,2005,57.3,191.1,71.3,front wheel,DCT,gas,225.0
125,107862.0,gmc envoy,,7.11,4899.0,,,113.0,22.0,,16.5,,2005,71.9,191.6,74.7,four wheel,,gas,275.0
126,76156.0,nissan pathfinder,4588.875,,29150.0,7.0,4.0,112.20000000000000,21.1,149.1,,suv,2005,73.1,20.0,57.0,rear wheel,AT,gas,266.0
130,56088.0,kia spectra,,,2433.0,5.0,4.0,102.8,14.5,195.0,25.0,midsize,2005,57.9,170.9,68.3,front wheel,AT,gas,
131,86945.0,nissan titan,,,28800.0,5.0,3.0,139.80000000000000,28.0,,16.0,,2005,75.85,72.0,78.8,rear wheel,AT,gas,305.0
134,73458.0,gmc yukon,,7.06,37542.5,5.5,4.0,116.0,26.0,,14.0,,2005,76.6,198.9,78.9,four wheel,DCT,gas,335.0
137,78218.0,acura tl,,6.76,5265.0,5.0,4.0,107.9,17.0,98.0,21.0,midsize,2005,56.7,189.3,72.2,front wheel,MT,gas,270.0
140,92669.0,buick lacrosse,3521.6666666666700,8.31,25501.666666666700,5.0,4.0,110.5,17.0,99.40000000000000,24.5,midsize,2005,57.4,198.1,73.0,front wheel,DCT,gas,200.0
143,115439.0,dodge durango,4963.666666666670,8.69,31788.33333333330,6.333333333333330,4.0,119.2,27.0,155.1,16.0,suv,2005,74.3,200.8,133.0,four wheel,AT,gas,230.0
145,75425.0,nissan maxima,3458.6666666666700,6.18,28250.0,5.0,4.0,111.2,20.0,104.0,21.0,midsize,2005,58.30000000000000,193.5,71.7,front wheel,MT,gas,265.0
146,90294.0,chrysler sebring,,,,,,,,86.0,21.0,compact,2005,,,,front wheel,AT,gas,
147,71447.0,mazda 6,,8.36,2849.0,,,105.3,18.0,192.0,23.0,midsize,2005,56.7,186.8,70.1,front wheel,MT,gas,160.0
148,68006.0,hyundai santa fe,3777.8333333333300,8.73,23582.33333333330,5.0,4.0,103.1,19.0,100.7,20.0,suv,2005,66.0,68.0,97.0,four wheel,DCT,gas,200.0
151,63939.0,ford crown victoria,,7.88,4000.0,,,114.7,19.0,111.0,19.0,large,2005,56.8,212.0,77.3,rear wheel,AT,gas,224.0
152,72447.0,nissan xterra,,7.02,4102.0,5.0,4.0,106.3,21.1,,18.5,,2005,110.0,186.0,72.8,four wheel,Manual transmission,gas,265.0
155,51144.0,cadillac escalade,,,55127.5,7.0,4.0,116.0,26.0,,15.0,,2005,76.5,198.9,214.0,all wheel,DCT,gas,345.0
158,54037.0,scion xb,,9.25,,,,98.4,11.9,90.0,29.0,small station wagon,2005,64.6,155.3,66.5,front wheel,AT,gas,108.0
161,68728.0,infiniti g35,3633,5.7,40400,4,4,112.2,20,185.0,20.0,compact,2005,54.8,183.1,71.8,rear wheel,MT,gas,306
162,72980.0,chevrolet uplander,,9.99,3936.0,7.0,4.0,121.1,25.0,,21.0,,2005,72.0,204.3,72.0,front wheel,,gas,200.0
163,76739.0,ford freestyle,,,4266.0,6.0,4.0,112.9,19.0,,23.5,,2005,65.9,199.8,74.4,front wheel,,gas,203.0
164,68085.0,chevrolet aveo,,9.46,1929.0,,,97.6,11.0,91.0,26.0,compact,2005,58.8,152.7,65.7,front wheel,AT,gas,103.0
165,23322.0,cadillac dts,,,,,,,,,,,2005,183.0,153.0,107.0,Front-wheel drive,Automatic transmission,Gasoline,275.0
167,63186.0,chevrolet avalanche,,8.095,5551.0,6.0,4.0,130.0,33.0,,16.0,,2005,73.6,245.0,217.0,four wheel,Automatic transmission,gas,303.3333333333330
169,52837.0,kia sedona,4802.0,10.74,22250.0,7.0,4.0,114.6,19.8,,17.0,minivan,2005,69.3,194.1,74.6,front wheel,AT,gas,195.0
172,52722.0,bmw 5,3567.6666666666700,7.5,47500.0,5.0,4.0,113.7,18.5,99.10000000000000,21.5,compact,2005,57.80000000000000,190.6,72.7,rear wheel,MT,gas,184.0
173,61512.0,cadillac cts,3509.0,6.91,31315.0,5.0,4.0,113.4,17.0,99.0,19.0,midsize,2005,56.7,190.1,70.6,rear wheel,MT,gas,210.0
174,64716.0,mercury grand marquis,,7.37,4596.0,5.0,4.0,114.7,19.0,109.0,19.0,large,2005,56.8,212.0,78.2,rear wheel,AT,gas,239.0
176,15789.0,lexus is,,6.42,4460.0,,,105.1,17.5,89.2,19.5,,2005,55.5,176.6,67.9,rear wheel,Manual transmission,gas,215.0
179,49233.0,volkswagen passat,3525.454545454550,8.2,27425.0,5.0,4.0,106.4,16.400000000000000,95.0,23.0,midsize,2005,59.0,184.3,68.7,front wheel,DCT,gas,190.0
180,57948.0,acura mdx,4498.2,7.16,40860.0,7.0,4.0,106.3,19.2,161.5,18.0,special purpose,2005,68.7,188.7,77.0,four wheel,AT,gas,265.0
183,33140.0,hummer h3,,,,,,,,,,,2005,,,,,,,
184,61048.0,hyundai tucson,3395.285714285710,8.81,20077.571428571400,5.0,4.0,103.5,16.385714285714300,102.6,23.5,suv,2005,68.10000000000000,47.0,29.0,front wheel,DCT,gas,140.0
187,56262.0,honda element,,8.86,3258.0,4.0,4.0,101.4,15.9,,22.5,,2005,70.4,219.0,71.5,four wheel,Automatic transmission,gas,160.0
189,99648.0,dodge stratus,,9.61,3053.0,,,108.0,16.0,86.0,21.0,compact,2005,54.9,191.2,70.6,front wheel,AT,gas,150.0
190,53541.0,subaru forester,3190.0,6.21,25235.90909090910,5.0,4.0,99.4,15.900000000000000,92.45454545454550,21.5,suv,2005,65.0,207.0,244.0,all wheel,DCT,gas,210.0
193,47610.0,kia sorento,4275.0,8.99,22565.0,5.0,4.0,106.7,21.1,105.8,17.5,suv,2005,70.23333333333330,179.8,73.3,rear wheel,AT,gas,192.0
195,50383.0,mercedes benz e class,3950.1,8.2,59585.0,5.6,4.0,112.4,21.1,96.78000000000000,28.0,midsize,2005,57.88000000000000,189.7,71.3,rear wheel,AT,gas,201.0
196,42593.0,honda ridgeline,,,,,,,,,,,2005,249.0,137.0,184.0,Four-wheel drive,Automatic transmission,Gasoline,250.0
198,60658.0,mercedes benz c class,3427.083333333330,7.06,34745.833333333300,4.833333333333330,3.6666666666666700,106.90000000000000,16.400000000000000,86.03333333333340,24.5,compact,2005,55.58333333333330,171.0,68.0,rear wheel,AT,flex fuel,189.0
200,77585.0,ford freestar,,9.83,4913.0,7.0,4.0,120.8,26.0,206.8,20.0,,2005,70.6,,76.4,front wheel,,gas,201.0
201,48922.0,audi a4,3574.060606060610,7.01,31915.757575757600,4.909090909090910,3.8181818181818200,104.31818181818200,17.409090909090900,90.0,23.0,compact,2005,56.0727272727273,180.6,69.8,all wheel,MT,gas,200.0
202,41394.0,suzuki forenza reno,,,,,,,,,,,2005,,,,,,,
203,60589.0,buick rendezvous,,7.34,,,,,18.0,,21.5,,2005,,,,all wheel,,,245.0
204,53652.0,gmc yukon xl,,7.68,41342.5,8.5,4.0,130.0,34.0,,16.0,,2005,76.32500000000000,16.0,217.0,four wheel,DCT,gas,308.3333333333330
207,64271.0,pontiac vibe,,8.8,2569.0,,,102.4,13.0,94.0,27.0,small station wagon,2005,62.2,171.9,69.9,front wheel,AT,gas,130.0
208,10303.0,gmc torrent,,,,,,,,,,,2005,,,,,,,
209,33637.0,subaru impreza,3112.3888888888900,7.15,22956.11111111110,5.0,4.0,99.4666666666667,15.900000000000000,88.84444444444440,26.5,subcompact,2005,57.45555555555560,,,all wheel,DCT,gas,165.0
210,52487.0,dodge magnum,,7.09,4207.0,5.0,4.0,120.0,19.0,,23.0,,2005,,197.7,74.1,all wheel,,gas,250.0
211,47122.0,lincoln town car,,,,,,,,112.0,19.0,large,2005,218.0,95.0,201.0,rear wheel,AT,gas,239.0
213,40820.0,mini cooper,2601.5,7.22,18675.0,4.0,2.0,97.1,13.2,77.0,26.0,minicompact,2005,56.05,143.9,66.5,front wheel,MT,gas,168.0
214,41349.0,kia optima,3288.2,9.74,18347.0,5.0,4.0,106.3,17.2,100.0,22.0,midsize,2005,55.5,185.8,71.5,front wheel,AT,gas,138.0
217,34856.0,acura tsx,,7.99,4078.0,5.0,4.0,105.1,17.1,91.0,22.0,compact,2005,57.3,183.3,69.4,front wheel,MT,gas,200.0
220,29009.0,kia sportage,3373.0,8.24,18956.42857142860,5.0,4.0,103.5,16.385714285714300,103.9,19.0,suv,2005,66.7,171.3,70.9,front wheel,AT,gas,173.0
223,32489.0,chevrolet corvette,3189.0,3.98,47577.5,2.0,2.0,105.75,18.0,,19.0,two seater,2005,,174.6,72.6,rear wheel,MT,gas,400.0
224,5321.0,mercuryc milan,,,,,,,,,,,2005,,,,,,,
225,36339.0,volkswagen new beetle,,12.51,2976.0,,,98.7,14.5,85.0,24.0,subcompact,2005,59.0,161.1,67.9,front wheel,MT,diesel,100.0
226,41012.0,hyundai accent,2313.0,9.17,10924.0,5.0,2.6666666666666700,96.1,11.9,88.36666666666670,31.0,compact,2005,54.9,166.7,65.7,front wheel,MT,gas,104.0
227,45904.0,toyota sequoia,4990.0,7.46,38822.5,8.0,4.0,118.1,26.4,126.9,16.5,suv,2005,73.75,89.0,237.0,four wheel,DCT,gas,282.0
230,33562.0,chevrolet monte carlo,,8.69,3342.0,5.0,2.0,110.5,17.0,96.0,22.0,midsize,2005,,197.9,72.3,front wheel,AT,gas,180.0
231,34099.0,mercury mariner,,,,,,,,,,,2005,191.0,98.0,13.0,Front-wheel drive,Automatic transmission,Gasoline,171.0
233,35976.0,volvo xc90,4521.111111111110,9.67,37803.88888888890,5.888888888888890,4.0,112.6,21.1,101.0,20.5,special purpose,2005,70.2,200.0,74.7,all wheel,DCT,gas,208.0
236,4985.0,lincoln zephyr,,,,,,,,,,,2005,,,,,,,
237,24487.0,mitsubishi eclipse,,7.05,3734.0,4.0,2.0,100.8,16.4,79.0,21.0,subcompact,2005,51.6,176.8,68.9,front wheel,AT,gas,210.0
238,39508.0,nissan armada,5382.6,7.59,38350.0,7.6,4.0,123.2,28.0,188.4,16.0,suv,2005,78.34,206.9,78.8,four wheel,AT,gas,305.0
241,28033.0,scion xa,,9.88,1999.0,5.0,4.0,93.3,11.9,86.0,30.0,subcompact,2005,60.2,154.1,66.7,front wheel,AT,gas,108.0
242,40357.0,nissan quest,,8.08,3555.0,,,124.0,20.0,,19.0,minivan,2005,71.9,204.1,77.6,front wheel,AT,gas,240.0
243,34959.0,mercedes benz m class,,8.37,5692.0,,,111.0,,,15.5,,2005,71.7,182.6,72.4,all wheel,Automatic transmission,gas,232.0
245,30769.0,bmw x3,4012.0,8.07,33300.0,5.0,4.0,110.1,17.7,,18.0,suv,2005,65.9,179.7,73.0,all wheel,MT,gas,184.0
247,16036.0,mercedes benz s class,4336.666666666670,6.89,92508.33333333330,5.0,4.0,122.0,23.2,105.0,20.0,large,2005,57.0,203.1,73.0,rear wheel,AT,gas,275.0
248,32491.0,mercury mountaineer,4782,8.3,37180,7,4,113.7,22.5,85.8,15,suv,2005,71.9,193.5,73.7,all wheel,AT,gas,210
249,15690.0,volkswagen golf rabbit,,,,,,,,,,,2005,,,,,,,
250,15690.0,volkswagen golf,2944.6153846153800,8.6,18596.92307692310,5.0,4,98.9,14.5,88.0,35.0,compact,2005,56.70000000000000,164.9,68.3,front wheel,MT,gas,155
251,30290.0,kia rio,2452.5,9.53,11428.75,5.0,4.0,94.9,11.9,176.0,24.0,subcompact,2005,56.7,166.9,66.1,front wheel,MT,gas,104.0
253,33976.0,mitsubishi galant,,7.58,3374.0,5.0,4.0,108.3,17.7,101.0,23.0,midsize,2005,57.9,190.4,72.4,front wheel,AT,gas,230.0
256,33457.0,lexus gs,,7.38,5831.0,,,110.2,19.8,100.0,19.5,,2005,55.9,189.2,70.9,rear wheel,Automatic transmission,gas,220.0
258,8624.0,suzuki grand vitara,,7.56,2759.0,5.0,4.0,97.6,16.9,,18.0,suv,2005,67.3,148.0,19.0,rear wheel,AT,gas,165.0
260,17645.0,hyundai xg350 azera,,,,,,,,,,,2005,,,,,,,
261,37598.0,bmw x5,4864.666666666670,7.77,54866.66666666670,5.0,4.0,111.0,24.600000000000000,,16.0,suv,2005,67.5,183.7,73.7,all wheel,DCT,gas,225.0
263,36761.0,mazda tribute,,9.64,3055.0,5.0,4.0,103.1,16.5,,23.5,,2005,67.7,174.4,72.0,front wheel,Manual transmission,gas,153.0
265,24695.0,volvo s60,3494.25,5.26,32403.125,5.0,4.0,106.90000000000000,18.125,94.0,21.0,compact,2005,56.22500000000000,180.2,71.4,front wheel,AT,gas,300.0
267,33497.0,cadillac sts,,6.0,7053.0,5.0,4.0,116.4,17.0,,21.5,,2005,57.6,196.3,72.6,rear wheel,Automatic transmission,gas,320.0
269,24000.0,infiniti m45,,,,,,,,,,,2005,,,,,,,
270,34339.0,lexus gx470,,,,,,,,,,,2005,,,,,,,
271,27278.0,nissan 350z,,4.97,5430.0,2.0,2.0,104.3,20.0,,20.0,two seater,2005,51.9,169.4,71.5,rear wheel,MT,gas,300.0
272,24241.0,volvo s40,,8.48,3534.0,5.0,4.0,103.9,15.9,,26.0,,2005,57.2,175.9,69.7,front wheel,Manual transmission,gas,168.0
274,24108.0,saab 9 3,,6.94,4927.0,5.0,4.0,105.3,16.4,,27.0,,2005,56.8,182.5,69.0,front wheel,,gas,210.0
275,34845.0,gmc canyon,,,21486.73076923080,3.923076923076920,2.6153846153846200,121.47692307692300,19.0,,19.5,,2005,66.42307692307690,192.8,67.6,rear wheel,MT,gas,175.0
277,25844.0,lincoln navigator,5760.0,,53650.0,7.0,4.0,118.8,28.0,157.2,,suv,2005,77.8,39.0,191.0,rear wheel,AT,gas,310.0
280,27849.0,mitsubishi lancer,,9.35,2489.0,5.0,4.0,102.4,13.2,94.0,24.0,compact,2005,54.9,180.5,66.8,front wheel,AT,gas,120.0
282,26786.0,infiniti fx,,,,,,,,,,,2005,115.0,251.0,135.0,Rear-wheel drive,Automatic transmission,Gasoline,303.0
285,27007.0,mercury montego,,,3924.0,5.0,4.0,112.9,19.0,,22.5,,2005,,200.4,74.5,all wheel,,gas,203.0
286,22999.0,cadillac srx,,,7520.0,5.0,4.0,116.4,20.0,,18.0,,2005,67.8,225.0,72.6,rear wheel,Automatic transmission,gas,320.0
288,5445.0,pontiac solstice,,,,,,,,,,,2005,,,,,,,
289,26043.0,lexus ls,3990.0,6.42,56225.0,5.0,4.0,115.2,22.2,107.2,21.5,midsize,2005,58.7,197.4,72.0,rear wheel,DCT,gas,290.0
292,10441.0,land rover range rover sport,,,,,,,,,,,2005,252.0,167.0,209.0,Four-wheel drive,Automatic transmission,Gasoline,375.0
295,14797.0,subaru b9 tribeca,,,,,,,,,,,2005,,,,,,,
296,4959.0,mercedes benz r class,,,,,,,,,,,2005,125.0,36.0,166.0,All-wheel drive,Automatic transmission,Diesel fuel,210.0
298,18165.0,bmw 7,4618.5,6.31,92750.0,5.0,4.0,120.45,23.3,107.5,20.0,large,2005,58.7,198.0,74.9,rear wheel,DCT,gas,325.0
299,20600.0,hyundai tiburon,,7.75,2699.0,,,99.6,14.5,81.0,22.0,subcompact,2005,52.4,173.0,69.3,front wheel,AT,gas,172.0
300,113332.0,dodge neon,,8.52,2416.0,5.0,4.0,105.0,12.5,,32.5,,2005,,174.4,67.4,front wheel,,gas,132.0
301,4761.0,mazda 5,,,,,,,,,,,2005,,,,,,,
302,23213.0,hummer h2,,,7864.0,5.0,4.0,122.8,32.0,,,,2005,79.2,,,four wheel,,gas,325.0
303,20809.0,acura rsx,,8.33,3202.0,,,101.2,13.2,81.0,26.0,subcompact,2005,54.9,172.4,67.9,front wheel,MT,gas,160.0
304,19346.0,land rover lr3,,7.02,6649.0,5.0,4.0,113.6,22.8,,14.0,suv,2005,74.1,,,four wheel,AT,gas,300.0
305,9801.0,mazda mx 5 miata,2477.285714285710,7.66,24466.42857142860,2.0,2.0,89.20000000000000,12.7,,22.0,two seater,2005,220.0,155.3,66.1,rear wheel,MT,gas,142.0
308,18227.0,mercedes benz clk,3585,4.6,58675,4,2,106.9,16.4,85.2,17,subcompact,2005,57,183,69,rear wheel,AT,gas,274
309,20503.0,audi a6,4051.0,6.73,46700.0,5.0,4.0,111.9,21.1,97.15,20.5,midsize,2005,57.45,193.5,71.3,all wheel,DCT,gas,255.0
310,20994.0,mitsubishi endeavor,,7.15,5024.0,5.0,4.0,108.3,21.4,106.7,19.5,,2005,67.3,190.2,77.0,all wheel,Automatic transmission,gas,225.0
312,13998.0,volvo xc70,,7.45,5307.0,5.0,4.0,108.8,18.0,,21.0,,2005,61.5,230.0,73.2,all wheel,Automatic transmission,gas,208.0
315,23439.0,pontiac montana sv6,,9.08,4531.0,,,,25.0,,20.0,,2005,,,,all wheel,,,200.0
316,10274.0,lincoln mark lt,,,,,,,,,,,2005,,,,,,,
317,15271.0,buick rainier,,,,,,,,,,,2005,,,,,,,
