,Unnamed: 0,Total_Sales,Year,cleaned_name,curb_weight_lbs,body_style,engine_type,speed_sec,horsepower_hp,length_in,width_in,msrp,pass_capacity,doors,wheelbase_in,height_in,tank_cap_gal,vol_cubft,mpg_comb,drivetrain,fuel_typ,trans,class_EPA,engine,fuel
17,44,244150.0,2005,chevrolet trailblazer,,,,,275.0,43.7,74.7,4367.0,5.0,4.0,113.0,72.5,22.0,,18.5,rear wheel,Gas,,,,regular
18,45,150219.0,2005,honda cr v,3423.6,Sport Utility,Gas Ifour ,9.44,160.0,181.0,70.2,22608.0,5.0,4.0,103.3,66.2,15.3,104.38,26.0,four wheel,"Gas Ifour , two.four L",5-speed automatic transmission w/OD,four WD Sport Utility,MPFI,regular
19,46,160975.0,2005,ford mustang,3460.0,Convertible,Gas V8,8.42,150.0,181.5,71.8,24978.75,4.0,2.0,107.1,55.7,16.0,85.0,19.0,rear wheel,Regular,5-speed manual transmission,Subcompact,SEFI,regular
20,50,203503.0,2005,chevrolet malibu,3262.0,four dr Car,Gas V6,7.98,200.0,188.3,69.9,21508.3333333333,5.0,4.0,106.3,57.5,16.0,101.0,25.0,front wheel,Regular,"Transmission, four -speed automatic, electronically controlled with over, includes electronic range selector",Midsize,SFI,regular
21,52,161380.0,2005,toyota sienna,4217.77777777778,"Mini-van, Passenger",Gas V6,8.53,230.0,200.0,77.4,28933.3333333333,7.22222222222222,4.0,119.3,71.0,20.0,177.2,22.5,front wheel,"Gas V6, 3.3L",5-speed automatic transmission w/OD & intelligence (ECT-i),twoWD Minivans,MPFI,regular
22,53,152305.0,2005,chevrolet tahoe,,Sport Utility,Gas V8,7.74,285.0,,,37510.8333333333,6.33333333333333,4.0,116.0,75.75,26.0,,18.0,four wheel,"Gas V8, 5.3L","Transmission, four -speed automatic, electronically controlled with over and tow/haul mode",,SFI,regular
23,54,180759.0,2005,chrysler town country,,,,,,,,,,,,,,,,,,,,,
24,55,124844.0,2005,pontiac g6,,,,8.17,200.0,189.0,70.6,3101.0,,,112.3,57.1,16.0,96.0,23.0,front wheel,Regular,Automatic four -spd,Compact Cars,,regular
25,57,165122.0,2005,ford escape,3402.35714285714,Sport Utility,Gas Ifour ,7.35,200.0,35.9,40.8,23911.0714285714,5.0,4.0,103.1,69.8,16.2857142857143,99.2,20.0,four wheel,"Gas Ifour , two.3L",four -speed automatic transmission w/OD,four WD Sport Utility Vehicles,SEFI,regular
26,58,143353.0,2005,honda pilot,4427.6,Sport Utility,Gas V6,7.3,255.0,188.0,77.3,31626.0,8.0,4.0,106.3,71.48,20.4,176.9,19.5,four wheel,"Gas V6, 3.5L",5-speed automatic transmission w/OD,four WD Sport Utility,MPFI,regular
27,59,70518.0,2005,toyota ravfour ,3041.75,Sport Utility,Gas Ifour ,8.07,161.0,166.6,68.3,20275.0,5.0,4.0,98.0,65.9,14.7,,24.5,four wheel,"Gas Ifour , two.four L",5-speed manual transmission,Sport Utility Vehicle,SFI,regular
28,60,130365.0,2005,hyundai sonata,3228.66666666667,four dr Car,Gas V6,9.52,138.0,186.9,71.7,18340.6666666667,5.0,4.0,106.3,56.0,17.2,100.0,22.0,front wheel,Regular,four -speed Shiftronic automatic transmission w/OD,Mid-Size,MPI,regular
29,64,144068.0,2005,chrysler 300,3899.5,four dr Car,Gas V8,6.71,250.0,196.8,74.1,31178.3333333333,5.0,4.0,120.0,58.4,18.6666666666667,106.1,23.0,rear wheel,"Gas V8, 5.7L",5-speed automatic transmission w/Autostick,Large,MPI,regular
30,65,16983.0,2005,ford fusion,,,,,,,,,,,,,,,,,,,,,
